id_,filename,width,height,depth,segmented
0,maksssksksss715.xml,267,400,3,0
1,maksssksksss129.xml,400,295,3,0
2,maksssksksss501.xml,400,255,3,0
3,maksssksksss381.xml,400,311,3,0
4,maksssksksss553.xml,301,400,3,0
5,maksssksksss668.xml,301,400,3,0
6,maksssksksss662.xml,400,261,3,0
7,maksssksksss645.xml,301,400,3,0
8,maksssksksss650.xml,267,400,3,0
9,maksssksksss810.xml,301,400,3,0
10,maksssksksss99.xml,400,267,3,0
11,maksssksksss589.xml,267,400,3,0
12,maksssksksss596.xml,301,400,3,0
13,maksssksksss221.xml,400,300,3,0
14,maksssksksss310.xml,400,267,3,0
15,maksssksksss385.xml,400,245,3,0
16,maksssksksss735.xml,400,225,3,0
17,maksssksksss739.xml,400,226,3,0
18,maksssksksss598.xml,301,400,3,0
19,maksssksksss333.xml,301,400,3,0
20,maksssksksss43.xml,266,400,3,0
21,maksssksksss259.xml,301,400,3,0
22,maksssksksss21.xml,400,227,3,0
23,maksssksksss757.xml,301,400,3,0
24,maksssksksss629.xml,301,400,3,0
25,maksssksksss284.xml,400,226,3,0
26,maksssksksss666.xml,400,300,3,0
27,maksssksksss228.xml,301,400,3,0
28,maksssksksss421.xml,400,267,3,0
29,maksssksksss353.xml,400,267,3,0
30,maksssksksss725.xml,301,400,3,0
31,maksssksksss507.xml,400,200,3,0
32,maksssksksss166.xml,400,267,3,0
33,maksssksksss39.xml,398,400,3,0
34,maksssksksss624.xml,301,400,3,0
35,maksssksksss161.xml,301,400,3,0
36,maksssksksss472.xml,400,300,3,0
37,maksssksksss676.xml,400,267,3,0
38,maksssksksss88.xml,301,400,3,0
39,maksssksksss71.xml,400,225,3,0
40,maksssksksss158.xml,400,278,3,0
41,maksssksksss439.xml,400,267,3,0
42,maksssksksss350.xml,400,267,3,0
43,maksssksksss369.xml,301,400,3,0
44,maksssksksss242.xml,400,300,3,0
45,maksssksksss62.xml,301,400,3,0
46,maksssksksss98.xml,400,267,3,0
47,maksssksksss376.xml,400,221,3,0
48,maksssksksss648.xml,400,267,3,0
49,maksssksksss427.xml,400,210,3,0
50,maksssksksss799.xml,400,300,3,0
51,maksssksksss781.xml,301,400,3,0
52,maksssksksss46.xml,400,226,3,0
53,maksssksksss404.xml,301,400,3,0
54,maksssksksss75.xml,400,211,3,0
55,maksssksksss213.xml,301,400,3,0
56,maksssksksss804.xml,400,258,3,0
57,maksssksksss186.xml,267,400,3,0
58,maksssksksss535.xml,400,261,3,0
59,maksssksksss428.xml,400,267,3,0
60,maksssksksss770.xml,400,210,3,0
61,maksssksksss405.xml,301,400,3,0
62,maksssksksss711.xml,400,283,3,0
